Rank,Pokemon,Usage %,Raw,%,Real,%
241,Gastly,0.00%,10,0.00%,6,0.00%
242,Rhyhorn,0.00%,9,0.00%,4,0.00%
243,Seadra,0.00%,9,0.00%,8,0.00%
244,Bulbasaur,0.00%,9,0.00%,8,0.00%
245,Ponyta,0.00%,9,0.00%,6,0.00%
246,Goldeen,0.00%,9,0.00%,8,0.00%
247,Togepi,0.00%,9,0.00%,9,0.00%
248,Marshtomp,0.00%,9,0.00%,8,0.00%
249,Meditite,0.00%,8,0.00%,6,0.00%
250,Flaaffy,0.00%,8,0.00%,8,0.00%
251,Slugma,0.00%,8,0.00%,7,0.00%
252,Meowth,0.00%,7,0.00%,7,0.00%
253,Cubone,0.00%,7,0.00%,5,0.00%
254,Exeggcute,0.00%,7,0.00%,4,0.00%
255,Baltoy,0.00%,7,0.00%,6,0.00%
256,Abra,0.00%,6,0.00%,3,0.00%
257,Squirtle,0.00%,6,0.00%,3,0.00%
258,Vibrava,0.00%,5,0.00%,5,0.00%
259,Barboach,0.00%,5,0.00%,5,0.00%
260,Sealeo,0.00%,5,0.00%,5,0.00%
261,Wartortle,0.00%,5,0.00%,3,0.00%
262,Shellder,0.00%,5,0.00%,4,0.00%
263,Drowzee,0.00%,4,0.00%,4,0.00%
264,Weedle,0.00%,4,0.00%,2,0.00%
265,Illumise,0.00%,4,0.00%,4,0.00%
266,Poochyena,0.00%,3,0.00%,2,0.00%
267,Wurmple,0.00%,3,0.00%,2,0.00%
268,Shroomish,0.00%,3,0.00%,1,0.00%
269,Mudkip,0.00%,3,0.00%,3,0.00%
270,Elekid,0.00%,3,0.00%,3,0.00%
271,Poliwag,0.00%,3,0.00%,1,0.00%
272,Charmeleon,0.00%,3,0.00%,3,0.00%
273,Wooper,0.00%,3,0.00%,2,0.00%
274,Machoke,0.00%,3,0.00%,3,0.00%
275,Charmander,0.00%,3,0.00%,3,0.00%
276,Swablu,0.00%,3,0.00%,3,0.00%
277,Ralts,0.00%,2,0.00%,2,0.00%
278,Staryu,0.00%,2,0.00%,2,0.00%
279,Bayleef,0.00%,2,0.00%,1,0.00%
280,Larvitar,0.00%,2,0.00%,1,0.00%
281,Lairon,0.00%,2,0.00%,1,0.00%
282,Graveler,0.00%,2,0.00%,2,0.00%
283,Gloom,0.00%,2,0.00%,1,0.00%
284,Treecko,0.00%,2,0.00%,2,0.00%
285,Torchic,0.00%,2,0.00%,2,0.00%
286,Machop,0.00%,2,0.00%,1,0.00%
287,Krabby,0.00%,2,0.00%,2,0.00%
288,Weepinbell,0.00%,2,0.00%,2,0.00%
289,Spinarak,0.00%,2,0.00%,1,0.00%
290,Anorith,0.00%,2,0.00%,2,0.00%
291,Nincada,0.00%,2,0.00%,1,0.00%
292,Skitty,0.00%,2,0.00%,2,0.00%
293,Psyduck,0.00%,2,0.00%,2,0.00%
294,Doduo,0.00%,2,0.00%,1,0.00%
295,Tentacool,0.00%,2,0.00%,2,0.00%
296,Wingull,0.00%,1,0.00%,0,0.00%
297,Spheal,0.00%,1,0.00%,1,0.00%
298,Chinchou,0.00%,1,0.00%,1,0.00%
299,Slakoth,0.00%,1,0.00%,1,0.00%
300,Quilava,0.00%,1,0.00%,1,0.00%
301,Seel,0.00%,1,0.00%,1,0.00%
302,Cyndaquil,0.00%,1,0.00%,1,0.00%
303,Omanyte,0.00%,1,0.00%,1,0.00%
304,Snorunt,0.00%,1,0.00%,0,0.00%
305,Totodile,0.00%,1,0.00%,1,0.00%
306,Nidorina,0.00%,1,0.00%,1,0.00%
307,Pidgeotto,0.00%,1,0.00%,1,0.00%
308,Growlithe,0.00%,1,0.00%,1,0.00%
309,Jigglypuff,0.00%,1,0.00%,0,0.00%
310,Pineco,0.00%,1,0.00%,1,0.00%
311,Chikorita,0.00%,1,0.00%,1,0.00%
312,Combusken,0.00%,1,0.00%,1,0.00%
